"Refs","Value","Footprint","Qty","DNP"
"A1","Pololu_Breakout_DRV8825","Module:Pololu_Breakout-16_15.2x20.3mm","1",""
"A2","Pololu_Breakout_DRV8825","Module:Pololu_Breakout-16_15.2x20.3mm","1",""
"J1","DSCL","","1",""
"J2","DSDA","","1",""
"J3","Raspberry_Pi_2_3","Connector_PinSocket_2.54mm:PinSocket_2x20_P2.54mm_Vertical","1",""
"J4","12V_Mainboard","","1",""
"J5","PWR_Printhead","","1",""
"J6","ST_EXT_Microstepping","","1",""
"J7","ST_EXT_5VLogic","","1",""
"J8","ST_EXT","","1",""
"J9","ST_CUT_5VLogic","","1",""
"J10","ST_CUT_Microstepping","","1",""
"J11","ST_CUT","","1",""
"Q1","BSS138","Package_TO_SOT_SMD:SOT-23","1",""
"Q2","BSS138","Package_TO_SOT_SMD:SOT-23","1",""
"R1","10k","","1",""
"R2","10k","","1",""
"R3","10k","","1",""
"R4","10k","","1",""
"R5","4k7","Resistor_SMD:R_0402_1005Metric","1",""
"R6","4k7","Resistor_SMD:R_0402_1005Metric","1",""
"R7","600","Resistor_SMD:R_0402_1005Metric","1",""
"R8","120","Resistor_SMD:R_0402_1005Metric","1",""
"R9","600","Resistor_SMD:R_0402_1005Metric","1",""
"R10","600","Resistor_SMD:R_0402_1005Metric","1",""
"R11","120","Resistor_SMD:R_0402_1005Metric","1",""
"R12","600","Resistor_SMD:R_0402_1005Metric","1",""
"U1","PCA9615DP","Package_SO:TSSOP-10_3x3mm_P0.5mm","1",""
