Reference,Value,Datasheet,Footprint,Qty,DNP
"C1,C2,C5,C6,C7,C8,C9,C11",0.1µF,~,-- mixed values --,8,
"C3,C4",0.22µF,~,Capacitor_SMD:C_0402_1005Metric,2,
C10,0.1µFC,~,Capacitor_SMD:C_0402_1005Metric,1,
"C12,C13",4.7µF,~,Capacitor_SMD:C_0402_1005Metric,2,
D1,GREEN,~,LED_SMD:LED_0805_2012Metric,1,
D2,BLUE,~,LED_SMD:LED_0805_2012Metric,1,
"D3,D4",YELLOW,~,LED_SMD:LED_0805_2012Metric,2,
"H1,H2,H3,H4",MountingHole_Pad,~,MountingHole:MountingHole_2.2mm_M2_Pad_TopBottom,4,
J1,Power,~,Connector_JST:JST_EH_S3B-EH_1x03_P2.50mm_Horizontal,1,
J4,FAN0,~,Connector_JST:JST_EH_S2B-EH_1x02_P2.50mm_Horizontal,1,
J5,FAN2,~,Connector_JST:JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,
J7,FAN3,~,Connector_JST:JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,
J8,T0,~,Connector_JST:JST_EH_S2B-EH_1x02_P2.50mm_Horizontal,1,
J9,T1,~,Connector_JST:JST_EH_S2B-EH_1x02_P2.50mm_Horizontal,1,
J10,T2,~,Connector_JST:JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,
J11,T3,~,Connector_JST:JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,
J14,FAN4,~,Connector_JST:JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,
J15,BreakoutBoardADXL345,~,Connector_JST:JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical,1,
J18,DATA,~,Connector_RJ:RJ45_Molex_0855135013_Vertical,1,
"Q1,Q2,Q4,Q5",DTC143E,,Package_TO_SOT_SMD:SOT-723,4,
R1,1k,~,Resistor_SMD:R_0402_1005Metric,1,
"R2,R3,R10,R14,R16,R18,R19,R21,R22",4k7,~,Resistor_SMD:R_0402_1005Metric,9,
"R4,R6,R7,R9",600,~,Resistor_SMD:R_0402_1005Metric,4,
"R5,R8",120,~,Resistor_SMD:R_0402_1005Metric,2,
R12,10k,~,Resistor_SMD:R_0402_1005Metric,1,
"R20,R25,R26",330,~,Resistor_SMD:R_0402_1005Metric,3,
U1,PCA9615DP,https://www.nxp.com/docs/en/data-sheet/PCA9615.pdf,Package_SO:TSSOP-10_3x3mm_P0.5mm,1,
U2,EMC2302-2-AIZL-TR,EMC2302-2-AIZL-TR,EMC2302-2-AIZL-TR:MSOP10_MC_MCH,1,
U4,ADS1015IDGS,http://www.ti.com/lit/ds/symlink/ads1015.pdf,Package_SO:TSSOP-10_3x3mm_P0.5mm,1,
U5,PCA9536D,http://www.nxp.com/documents/data_sheet/PCA9536.pdf,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,1,
U6,AP7361C-33E,https://www.diodes.com/assets/Datasheets/AP7361C.pdf,Package_TO_SOT_SMD:SOT-223-3_TabPin2,1,
